TAD	Term	P.value	P.adjust
Glucagon signaling pathway	TAD2143|TAD1362|TAD2298|TAD2148|TAD2149|TAD526|TAD527|TAD332|TAD836|TAD432	0.0141640848964356|0.0517801882419708|0.0517801882419708|0.0517801882419708|0.0517801882419708|0.0517801882419708|0.0766654935335774|0.0888644999684212|0.0766654935335774|0.100903878608992	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.118923783923687|0.122198355047959|0.118923783923687|0.123396384057437
Glutamatergic synapse	TAD2583|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD332|TAD836|TAD2484|TAD2485|TAD2171|TAD3007|TAD652	0.0290116217953115|0.0845551515328895|0.0146116380415278|0.0571887397387849|0.0571887397387849|0.0571887397387849|0.0845551515328895|0.097941594930177|0.0845551515328895|0.11113398212427|0.124135101708288|0.00712502545212953|0.0432029903998417|0.097941594930177	0.115232122591671|0.119543551774631|0.115232122591671|0.115375190636324|0.115375190636324|0.115375190636324|0.119543551774631|0.122935610123605|0.119543551774631|0.126450006764748|0.130581531757054|0.115232122591671|0.115232122591671|0.122935610123605
Glutathione metabolism	TAD280|TAD744|TAD1967|TAD2536|TAD1968	0.00642244273745244|0.0560236840328546|0.0423137749305829|0.00642244273745244|0.418911775639436	0.114016399159268|0.115232122591671|0.115232122591671|0.114016399159268|0.419708690875275
Glycerolipid metabolism	TAD816	0.0384957255302129	0.115232122591671
Glycerophospholipid metabolism	TAD548|TAD2238|TAD2237|TAD816|TAD2903|TAD3061	0.0838804415716582|0.117661133193766|0.0838804415716582|0.0606520867050563|0.0838804415716582|0.0488202794605933	0.119543551774631|0.128923977856993|0.119543551774631|0.116002141856372|0.119543551774631|0.115232122591671
Glycine, serine and threonine metabolism	TAD566|TAD1785|TAD1651|TAD1454	0.0303793642714779|0.0203542740503414|0.0598582097575062|0.0303793642714779	0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671
Glycolysis / Gluconeogenesis	TAD2143|TAD75|TAD1454|TAD8	0.115433443514968|0.0259232067042398|0.051184030293296|0.0344162470868672	0.128033622624224|0.115232122591671|0.115232122591671|0.115232122591671
Glycosaminoglycan biosynthesis	TAD2242|TAD653|TAD734	0.0466112898478187|0.0400854469396349|0.0202438407895768	0.115232122591671|0.115232122591671|0.115232122591671
Glycosaminoglycan degradation	TAD1915|TAD1019|TAD816|TAD2189	0.0429851026012216|0.0145275954960933|0.0121202959736485|0.0312237408353504	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Glycosphingolipid biosynthesis	TAD2143|TAD1019|TAD3079|TAD346	0.0778524501891508|0.0341221055603307|0.0724938965035246|0.0671049004212343	0.119065388244818|0.115232122591671|0.11858757455853|0.116873426769585
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	TAD3020|TAD470	0.028486297697213|0.012758193699595	0.115232122591671|0.115232122591671
Glyoxylate and dicarboxylate metabolism	TAD153|TAD1651	0.0152951108696761|0.045209792140921	0.115232122591671|0.115232122591671
GnRH signaling pathway	TAD2727|TAD1858|TAD1859|TAD2583|TAD566|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD2716	0.0353399703158229|0.0353399703158229|0.134113772966218|0.0236994639241495|0.0694439854016072|0.011920020507562|0.0468431608223788|0.0468431608223788|0.0468431608223788|0.0694439854016072|0.102354817145962|0.123652949490751	0.115232122591671|0.115232122591671|0.140052717307749|0.115232122591671|0.116895301324227|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116895301324227|0.124400470069707|0.130373896527958
Graft-versus-host disease	TAD1174|TAD2129	1.97489602098419e-10|0.00235591293995825	3.90041964144377e-08|0.0653042534234042
Hedgehog signaling pathway	TAD1476|TAD1118|TAD1466|TAD1067	0.0179659275877634|0.0297673038274698|0.0699892120586829|0.0529551391255276	0.115232122591671|0.115232122591671|0.116895301324227|0.115232122591671
Hematopoietic cell lineage	TAD1174|TAD1574|TAD454|TAD212|TAD2586|TAD170	9.63499984129826e-08|0.0488202794605933|0.0368409970803902|0.000148239164458785|0.0952805181807087|0.000331248835671168	6.0893198997005e-06|0.115232122591671|0.115232122591671|0.00557661618678285|0.122880787262533|0.0113776773991401
Hepatitis B	TAD2727|TAD2500|TAD2793|TAD1858|TAD1859|TAD927|TAD1362|TAD2583|TAD2582	0.061383621752249|0.100210464538463|0.0810008123734034|0.061383621752249|0.223952510378815|0.119020993495784|0.0810008123734034|0.0413503011218466|0.0208920789541142	0.116002141856372|0.123175631148363|0.119543551774631|0.116002141856372|0.226823696409313|0.129602460181488|0.119543551774631|0.115232122591671|0.115232122591671
Hepatitis C	TAD927	0.11346898682744	0.126789956992472
Hepatocellular carcinoma	TAD842|TAD2500|TAD2793|TAD2583|TAD2582|TAD2629|TAD876|TAD1413|TAD1442|TAD1670|TAD2131	0.103152104383072|0.103152104383072|0.0834049947548088|0.0426049138692575|0.0215329402717253|0.0426049138692575|0.0632257311089967|0.0632257311089967|0.0632257311089967|0.103152104383072|0.122476260656464	0.124710701580621|0.124710701580621|0.119543551774631|0.115232122591671|0.115232122591671|0.115232122591671|0.116294127068934|0.116294127068934|0.116294127068934|0.124710701580621|0.129961377996785
Herpes simplex virus 1 infection	TAD1174|TAD2882|TAD1846|TAD1466|TAD2849|TAD2888	0.000111134789318248|7.78821845243781e-14|0.00360961508035816|0.0357661456792438|6.68669185484547e-25|4.67536823666639e-06	0.0045023837723803|3.07634628871293e-11|0.0905268543962839|0.115232122591671|5.28248656532792e-22|0.000217267112174497
HIF-1 signaling pathway	TAD837|TAD2583|TAD2582|TAD2629|TAD2238|TAD8	0.0980960332489538|0.0254717933775703|0.0128172263522173|0.0254717933775703|0.121092574286327|0.0503010987034357	0.122935610123605|0.115232122591671|0.115232122591671|0.115232122591671|0.129771183839744|0.115232122591671
Hippo signaling pathway	TAD842|TAD2500|TAD2793|TAD1413|TAD1442|TAD1118|TAD1978|TAD72	0.0984417790022108|0.0984417790022108|0.0795560346503326|0.0602771978319077|0.0602771978319077|0.0984417790022108|0.0984417790022108|0.0602771978319077	0.122935610123605|0.122935610123605|0.119543551774631|0.116002141856372|0.116002141856372|0.122935610123605|0.122935610123605|0.116002141856372
Histidine metabolism	TAD2231|TAD3033	0.000173026880248759|0.0376813989634867	0.0063577318789079|0.115232122591671
Homologous recombination	TAD2238|TAD2237|TAD816|TAD2113|TAD2845	0.0513541069768443|0.036224274903176|0.0260072021675749|0.0260072021675749|0.0412935250287653	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Human cytomegalovirus infection	TAD1174|TAD2727|TAD1362|TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD2531	0.0635979186951827|0.084055701044725|0.1104805590092|0.0568494347391229|0.0288387592924891|0.1104805590092|0.1104805590092|0.1104805590092|0.161074797644107|0.084055701044725	0.116483782209881|0.119543551774631|0.126402479830167|0.115375190636324|0.115232122591671|0.126402479830167|0.126402479830167|0.126402479830167|0.165258558621876|0.119543551774631
Human immunodeficiency virus 1 infection	TAD1174|TAD2727|TAD1858|TAD1859|TAD2583|TAD2582|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD3071|TAD502	0.215579523037839|0.0793324750903166|0.0793324750903166|0.281664647775601|0.053610082459735|0.0271725198667008|0.053610082459735|0.10435895480321|0.10435895480321|0.10435895480321|0.152398636811622|2.49638222680621e-09|0.10435895480321	0.218764063198321|0.119543551774631|0.119543551774631|0.282918082317514|0.115232122591671|0.115232122591671|0.115232122591671|0.125105764779263|0.125105764779263|0.125105764779263|0.156968608971554|3.28690326529484e-07|0.125105764779263
Human papillomavirus infection	TAD506|TAD454|TAD1413|TAD1442|TAD1756|TAD188|TAD72	0.052740677454869|0.121614061397559|0.121614061397559|0.121614061397559|0.0762395403857181|0.0163847102359575|0.121614061397559	0.115232122591671|0.129831227708205|0.129831227708205|0.129831227708205|0.118923783923687|0.115232122591671|0.129831227708205
Human T-cell leukemia virus 1 infection	TAD1174|TAD2793|TAD1858|TAD1859|TAD1362|TAD766|TAD1670	1.99503824893479e-06|0.107659115766506|0.0818777630426095|0.289580110500529|0.107659115766506|0.107659115766506|0.00741666711447442	9.85050135411555e-05|0.126402479830167|0.119543551774631|0.290683973691764|0.126402479830167|0.126402479830167|0.115232122591671
Huntington disease	TAD1362|TAD526|TAD527|TAD2228|TAD992	0.0953552264725492|0.0953552264725492|0.139583678691923|0.117745126612431|0.117745126612431	0.122880787262533|0.122880787262533|0.14518907987705|0.128923977856993|0.128923977856993
Hypertrophic cardiomyopathy (HCM)	TAD1823|TAD2583|TAD2882|TAD566|TAD2238|TAD454	0.0323332398823694|0.0216719729206065|0.117954974326334|0.0636329465390405|0.10381446552793|0.0323332398823694	0.115232122591671|0.115232122591671|0.128981164180002|0.116483782209881|0.125105764779263|0.115232122591671
IL-17 signaling pathway	TAD837|TAD1858|TAD1859|TAD927|TAD566|TAD2484	0.091514536402497|0.0353399703158229|0.134113772966218|0.0694439854016072|0.0694439854016072|0.091514536402497	0.122358683260164|0.115232122591671|0.140052717307749|0.116895301324227|0.116895301324227|0.122358683260164
Inflammatory bowel disease (IBD)	TAD1174|TAD837|TAD2500|TAD2586	5.71551714155567e-09|0.0647663930908755|0.0409779865169819|0.00185287749026184	6.23627019200615e-07|0.116636733975924|0.115232122591671|0.0542138228632168
Inflammatory mediator regulation of TRP channels	TAD2727|TAD1858|TAD1859|TAD2583|TAD2582|TAD2629|TAD316|TAD2238|TAD2148|TAD2149|TAD526|TAD527|TAD627	0.0379657447445247|0.0379657447445247|0.143508470096195|0.0254717933775703|0.0128172263522173|0.0254717933775703|0.0128172263522173|0.121092574286327|0.0503010987034357|0.0503010987034357|0.0503010987034357|0.0745039621816982|0.109667805981197	0.115232122591671|0.115232122591671|0.148879437131969|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.129771183839744|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.126402479830167
Influenza A	TAD1174|TAD2727|TAD1858|TAD1859|TAD2583|TAD2582	4.55517492614871e-06|0.0643298389728526|0.0643298389728526|0.233656138403533|0.0433572871920631|0.0219174570622919	0.000217267112174497|0.116483782209881|0.116483782209881|0.236046482530424|0.115232122591671|0.115232122591671
Inositol phosphate metabolism	TAD2629|TAD2142|TAD2433|TAD2058	0.0188807388716129|0.00461848392139836|0.0995833871197084|0.0645577691905748	0.115232122591671|0.100957585580596|0.12317189900491|0.116572886081266
Insulin resistance	TAD837|TAD1858|TAD1859|TAD506|TAD1362|TAD2583|TAD2582|TAD2298|TAD316	0.105566625722534|0.0409607902475928|0.154130800719052|0.117960621670951|0.0542414973450748|0.0274953411247041|0.0138426044603945|0.0542414973450748|0.0138426044603945	0.125315754050791|0.115232122591671|0.158546005947983|0.128981164180002|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Insulin secretion	TAD1362|TAD2583|TAD566|TAD2582|TAD627|TAD1889|TAD432	0.0433757885322613|0.0219255243076946|0.0643609758665987|0.0110228146629069|0.0949884838485362|0.0110228146629069|0.0848910538551496	0.115232122591671|0.115232122591671|0.116483782209881|0.115232122591671|0.122880787262533|0.115232122591671|0.119543551774631
Insulin signaling pathway	TAD1858|TAD1859|TAD2298|TAD611	0.0517657142616359|0.191632529254877|0.0684227340264977|0.0348130720658695	0.115232122591671|0.195467654114077|0.116873426769585|0.115232122591671
Intestinal immune network for IgA production	TAD1174|TAD454|TAD2656	6.3415393019069e-10|0.0183458247144219|0.0303928568230681	1.00196320970129e-07|0.115232122591671|0.115232122591671
JAK-STAT signaling pathway	TAD1574|TAD2586|TAD29	0.0805194089225777|0.0110512383459133|0.0172836191249463	0.119543551774631|0.115232122591671|0.115232122591671
Kaposi sarcoma-associated herpesvirus infection	TAD2727|TAD1858|TAD1859|TAD2649|TAD2629|TAD2148|TAD2149|TAD526|TAD527|TAD1545|TAD2955	0.0698373666834616|0.0698373666834616|0.251551263562303|0.0269905960757129|0.0471147176426318|0.0920210119965628|0.0920210119965628|0.0920210119965628|0.134821865818997|0.0698373666834616|0.0471147176426318	0.116895301324227|0.116895301324227|0.253314847946742|0.115232122591671|0.115232122591671|0.122358683260164|0.122358683260164|0.122358683260164|0.140699173047567|0.116895301324227|0.115232122591671
Legionellosis	TAD837|TAD927|TAD212|TAD1012|TAD1878	0.0550478718442339|0.0415714784119915|0.0617161252505158|0.0814449027337822|0.0617161252505158	0.115232122591671|0.115232122591671|0.116002141856372|0.119543551774631|0.116002141856372
Leishmaniasis	TAD1174|TAD837|TAD2583|TAD2582|TAD454|TAD212	1.44034766295884e-08|0.0734381700988364|0.0188807388716129|0.00948474750064077|0.0281887934002667|0.0822353955816028	1.19776279340788e-06|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631
Leukocyte transendothelial migration	TAD2583|TAD2582|TAD2629|TAD454|TAD1785|TAD1310|TAD1099	0.0285063263469892|0.0143552935144834|0.0285063263469892|0.0424559790968788|0.0562070921038219|0.096297003824133|0.083124862286952	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.122935610123605|0.119543551774631
Linoleic acid metabolism	TAD2266	0.0991810339213264	0.122935610123605
Long-term depression	TAD2583|TAD2882|TAD2582|TAD2238|TAD2148|TAD2149|TAD526|TAD527|TAD1545	0.0153225085906304|0.207161510962153|0.00769033581133038|0.0743372628821023|0.0304140918695621|0.0304140918695621|0.0304140918695621|0.0452781719962687|0.0228969508322411	0.115232122591671|0.210356804190361|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Long-term potentiation	TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD332|TAD836	0.0171024288126383|0.00858754165598552|0.0339166564761243|0.0339166564761243|0.0339166564761243|0.0504474672426763|0.0586080649459527|0.0504474672426763	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.116002141856372|0.115232122591671
Longevity regulating pathway	TAD837|TAD506|TAD1362|TAD2298|TAD2238|TAD627|TAD1878	0.099968781238851|0.111747480791537|0.0512873505019721|0.0512873505019721|0.123373524286887|0.111747480791537|0.111747480791537	0.123175631148363|0.126450006764748|0.115232122591671|0.115232122591671|0.130213873328845|0.126450006764748|0.126450006764748
Lysine degradation	TAD842|TAD1814|TAD526|TAD1466|TAD1067	0.0372526690620696|0.0445377905864172|0.0299129491337405|0.0871241084403581|0.0660695423471216	0.115232122591671|0.115232122591671|0.115232122591671|0.121389851266107|0.116636733975924
Lysosome	TAD837|TAD2238|TAD526|TAD1019|TAD2774|TAD1503|TAD2237|TAD502	0.1194281630081|0.147003870662724|0.0615966810360954|0.0909684658808094|0.1194281630081|0.0465597336373772|0.105310548833177|0.0615966810360954	0.129771183839744|0.152006620187895|0.116002141856372|0.122358683260164|0.129771183839744|0.115232122591671|0.125105764779263|0.116002141856372
Malaria	TAD2129|TAD212|TAD2127	0.00335113967870505|0.0551521750613402|0.0431596662177282	0.0868000113500653|0.115232122591671|0.115232122591671
Mannose type O-glycan biosynthesis	TAD1743	0.0233521623579105	0.115232122591671
MAPK signaling pathway	TAD2727|TAD1858|TAD1859|TAD1823|TAD2583|TAD2582|TAD1033|TAD3071|TAD365	0.109210998994361|0.109210998994361|0.370521177792979|0.109210998994361|0.00142499428474274|0.037810817739041|0.0741966411933397|0.201348774959344|0.109210998994361	0.126402479830167|0.126402479830167|0.371461586873672|0.126402479830167|0.0424809616961044|0.115232122591671|0.11858757455853|0.204849365380401|0.126402479830167
Maturity onset diabetes of the young	TAD2143|TAD2266|TAD454|TAD2485|TAD817	0.0456947202703064|0.0893781923850732|0.00996543045687792|0.0296105902677063|0.00333247885157639	0.115232122591671|0.122358683260164|0.115232122591671|0.115232122591671|0.0868000113500653
Measles	TAD1858|TAD1859|TAD927|TAD611	0.052136843140594|0.192898075197335|0.10157410945901|0.0350649147085139	0.115232122591671|0.196631586330187|0.123832633445398|0.115232122591671
Melanogenesis	TAD842|TAD2583|TAD2582|TAD627|TAD1413|TAD1442	0.0630884696352507|0.0257248518576072|0.0129453986157394|0.110708183772183|0.0383404659553486|0.0383404659553486	0.116294127068934|0.115232122591671|0.115232122591671|0.126402479830167|0.115232122591671|0.115232122591671
Melanoma	TAD2238|TAD1670|TAD2310	0.0885934848040213|0.0453096056533021|0.0885934848040213	0.122144595105021|0.115232122591671|0.122144595105021
Metabolism of xenobiotics by cytochrome P450	TAD3017|TAD21|TAD3018	0.0645577691905748|0.0734381700988364|0.0374097229153818	0.116572886081266|0.11858757455853|0.115232122591671
MicroRNAs in cancer	TAD2583|TAD2882|TAD2582|TAD2629|TAD316|TAD188|TAD1555|TAD2076	0.0751830467840097|0.245873306363229|0.0383235067931299|0.0751830467840097|0.0383235067931299|0.013556215752032|0.110634363323956|0.0537553798570438	0.11858757455853|0.247913097673199|0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671|0.126402479830167|0.115232122591671
Mineral absorption	TAD2481	0.0635137311627155	0.116483782209881
Mismatch repair	TAD767	0.0461821797454011	0.115232122591671
Mitophagy	TAD1858|TAD1859|TAD1362|TAD1815|TAD1133|TAD2129|TAD2481|TAD1290|TAD2186	0.0247890941094617|0.0955825870542107|0.0329168936841359|0.0329168936841359|0.0955825870542107|0.110613553231763|0.0803015649674355|0.0247890941094617|0.0489729116005262	0.115232122591671|0.122880787262533|0.115232122591671|0.115232122591671|0.122880787262533|0.126402479830167|0.119543551774631|0.115232122591671|0.115232122591671
Morphine addiction	TAD2583|TAD2582|TAD627|TAD2142|TAD2484|TAD2485|TAD3020	0.0231927883360841|0.0116636759805179|0.100255608643541|0.121147149470647|0.0896264070839629|0.100255608643541|0.100255608643541	0.115232122591671|0.115232122591671|0.123175631148363|0.129771183839744|0.122358683260164|0.123175631148363|0.123175631148363
mRNA surveillance pathway	TAD2194|TAD2765	0.110762055405179|0.0679940509045444	0.126402479830167|0.116873426769585
mTOR signaling pathway	TAD2583|TAD2582|TAD1413|TAD1442|TAD2131|TAD1767|TAD2763	0.038587261356176|0.0194821840553703|0.0573224839553889|0.0573224839553889|0.11137948154257|0.0756949653554122|0.038587261356176	0.115232122591671|0.115232122591671|0.115375190636324|0.115375190636324|0.126450006764748|0.118923783923687|0.115232122591671
Mucin type O-glycan biosynthesis	TAD2176|TAD2958	0.116317354801143|0.0118742369625068	0.128428665678411|0.115232122591671
N-Glycan biosynthesis	TAD548|TAD1133|TAD784|TAD873	0.0440235746836739|0.0743003549019119|0.0316429948406085|0.0501555594515783	0.115232122591671|0.11858757455853|0.115232122591671|0.115232122591671
Natural killer cell mediated cytotoxicity	TAD927|TAD2583|TAD2582|TAD2629|TAD332|TAD836|TAD2129|TAD1785	0.0966377152622144|0.0333013261401325|0.0167905665214046|0.0333013261401325|0.111817353448547|0.0966377152622144|5.37395006637989e-08|0.0655018590229091	0.122935610123605|0.115232122591671|0.115232122591671|0.115232122591671|0.126450006764748|0.122935610123605|4.10001515029702e-06|0.116636733975924
Necroptosis	TAD1858|TAD1859|TAD233|TAD2958|TAD2930	0.0610149103296035|0.222731670070024|0.118328581386925|0.0610149103296035|0.118328581386925	0.116002141856372|0.225731904240307|0.12911544101612|0.116002141856372|0.12911544101612
Neuroactive ligand-receptor interaction	TAD1234|TAD2310|TAD1005|TAD1650|TAD3007|TAD2311|TAD899	0.12091754646923|0.0669077353221669|0.0433222250704947|0.150839605905224|0.124432786718035|0.124432786718035|0.0340096164067798	0.129771183839744|0.116873426769585|0.115232122591671|0.155464173079096|0.130661597298493|0.130661597298493|0.115232122591671
Neurotrophin signaling pathway	TAD837|TAD1858|TAD1859|TAD2629|TAD876	0.115750259065192|0.045068818696661|0.168539376344075|0.0302742853578905|0.045068818696661	0.128071014932076|0.115232122591671|0.17269274618913|0.115232122591671|0.115232122591671
NF-kappa B signaling pathway	TAD837|TAD2583|TAD2582|TAD2629|TAD233|TAD1545|TAD2303|TAD2113	0.0933992383233708|0.024206008070334|0.0121763650346063|0.024206008070334|0.0708920396752039|0.0360906784848624|0.0708920396752039|0.059431996020198	0.122668991314153|0.115232122591671|0.115232122591671|0.115232122591671|0.117904655459813|0.115232122591671|0.117904655459813|0.116002141856372
Nicotinate and nicotinamide metabolism	TAD1427	0.00384516790566514	0.0920509892568321
Nitrogen metabolism	TAD2608	0.0343313576352196	0.115232122591671
NOD-like receptor signaling pathway	TAD1858|TAD1859|TAD2148|TAD2149|TAD526|TAD527|TAD111|TAD1427	0.0669027160955511|0.242055440862023|0.0881992049447614|0.0881992049447614|0.0881992049447614|0.129352922839022|5.44938722507831e-08|0.0228146629069469	0.116873426769585|0.244375461061978|0.122133868372238|0.122133868372238|0.122133868372238|0.135528924459983|4.10001515029702e-06|0.115232122591671
Non-alcoholic fatty liver disease (NAFLD)	TAD1858|TAD1859|TAD927|TAD2228|TAD992	0.0562128714951657|0.206699717273059|0.109285873827168|0.0919327874255275|0.0919327874255275	0.115232122591671|0.210022863853012|0.126402479830167|0.122358683260164|0.122358683260164
Non-small cell lung cancer	TAD2583|TAD2582|TAD2629|TAD28|TAD1670|TAD2310	0.016848253076619|0.00845936939246328|0.016848253076619|0.119746421201054|0.0415977499999102|0.0814902665766283	0.115232122591671|0.115232122591671|0.115232122591671|0.129771183839744|0.115232122591671|0.119543551774631
Notch signaling pathway	TAD1133|TAD280|TAD2058	0.0714283003185536|0.0996931963069404|0.0422950886604185	0.117927601361875|0.12317189900491|0.115232122591671
Nucleotide excision repair	TAD1859|TAD767|TAD1012	0.0699892120586829|0.0922355692188237|0.0699892120586829	0.116895301324227|0.122358683260164|0.116895301324227
Olfactory transduction	TAD1968|TAD170	3.62503096336492e-48|3.27231279174758e-07	5.72754892211657e-45|1.78284627964178e-05
One carbon pool by folate	TAD2523|TAD2744|TAD2242|TAD3033|TAD1304	0.000405777186349485|0.0127549353826338|0.0178135068014756|0.0328418946795157|0.0152873069732901	0.0128225590886437|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Oocyte meiosis	TAD2148|TAD2149|TAD526|TAD527|TAD332|TAD836|TAD766|TAD3081|TAD1118	0.0625741207957764|0.0625741207957764|0.0625741207957764|0.0923885500818832|0.106941068198836|0.0923885500818832|0.0625741207957764|0.12126209019693|0.0776008244249797	0.11604120992644|0.11604120992644|0.11604120992644|0.122358683260164|0.126402479830167|0.122358683260164|0.11604120992644|0.129806302514329|0.119065388244818
Osteoclast differentiation	TAD2727|TAD837|TAD548|TAD1858|TAD1859|TAD2629|TAD370|TAD332|TAD836|TAD2303	0.0480490959461599|0.123092674507724|0.108569039878418|0.0480490959461599|0.178876643521328|0.0322928383135732|0.123092674507724|0.108569039878418|0.0938067850948165|0.0938067850948165	0.115232122591671|0.13010818869455|0.126402479830167|0.115232122591671|0.183047342463535|0.115232122591671|0.13010818869455|0.126402479830167|0.122706681526324|0.122706681526324
Other glycan degradation	TAD837|TAD1019|TAD28|TAD1293|TAD1294	0.0183166078423063|0.0137673956469002|0.0340832732055819|0.0183166078423063|0.0205837750297372	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671
Ovarian steroidogenesis	TAD2238|TAD153|TAD627|TAD1234|TAD1149	0.0610930891408982|0.00023000476232729|0.0551521750613402|0.0844929766334177|0.0844929766334177	0.116002141856372|0.00825926191993451|0.115232122591671|0.119543551774631|0.119543551774631
Oxidative phosphorylation	TAD2228|TAD992|TAD1121|TAD2787	0.0823981054320395|0.0823981054320395|0.0823981054320395|0.113437701965049	0.119543551774631|0.119543551774631|0.119543551774631|0.126789956992472
Oxytocin signaling pathway	TAD1823|TAD2583|TAD2649|TAD2882|TAD566|TAD2582|TAD1814|TAD1815|TAD2148|TAD2149|TAD526|TAD527|TAD836|TAD1033	0.0576921614126612|0.00038210154601611|0.01871048499897|0.169460779045928|0.112076438811949|0.0196103563188926|0.112076438811949|0.076178262105553|0.076178262105553|0.076178262105553|0.076178262105553|0.112076438811949|0.112076438811949|0.038838611091769	0.115804105322|0.0125775092230303|0.115232122591671|0.173524323326356|0.126450006764748|0.115232122591671|0.126450006764748|0.118923783923687|0.118923783923687|0.118923783923687|0.118923783923687|0.126450006764748|0.126450006764748|0.115232122591671
p53 signaling pathway	TAD927|TAD2238|TAD1670|TAD188|TAD1878	0.0541255231078311|0.0885934848040213|0.0453096056533021|0.0453096056533021|0.0800944213285502	0.115232122591671|0.122144595105021|0.115232122591671|0.115232122591671|0.119543551774631
Pancreatic cancer	TAD837|TAD2500|TAD2793|TAD548|TAD1858|TAD1859|TAD1670|TAD2310	0.074397343835794|0.0471612156973795|0.0379079580484483|0.0654050900518152|0.0285660493034501|0.109520551658387|0.0471612156973795|0.0921265207604515	0.11858757455853|0.115232122591671|0.115232122591671|0.116636733975924|0.115232122591671|0.126402479830167|0.115232122591671|0.122358683260164
Pancreatic secretion	TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD107|TAD1889|TAD652	0.024965577836086|0.0125608818251731|0.0493140781474406|0.0493140781474406|0.0493140781474406|0.0730605999341524|0.107583804150424|3.74021703422483e-05|0.0125608818251731|0.0847127370822351	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.11858757455853|0.126402479830167|0.00159717376056087|0.115232122591671|0.119543551774631
Pantothenate and CoA biosynthesis	TAD548	0.0169293368616107	0.115232122591671
Parathyroid hormone synthesis, secretion and action	TAD1362|TAD2583|TAD2582|TAD2148|TAD2149|TAD526|TAD527|TAD627|TAD1033|TAD1201|TAD2131|TAD2303|TAD2531	0.0532575494236703|0.0269896513507407|0.0135862599333504|0.0532575494236703|0.0532575494236703|0.0532575494236703|0.0788228162977008|0.11589388079156|0.0269896513507407|0.0532575494236703|0.0788228162977008|0.0788228162977008|0.0402126124990516	0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.115232122591671|0.119543551774631|0.128140190098435|0.115232122591671|0.115232122591671|0.119543551774631|0.119543551774631|0.115232122591671
Parkinson disease	TAD927|TAD2228|TAD992|TAD6|TAD2787	0.10438479906583|0.0877711663378545|0.0877711663378545|0.10438479906583|0.120697954341953	0.125105764779263|0.121861549045527|0.121861549045527|0.125105764779263|0.129771183839744
Pathogenic Escherichia coli infection	TAD370|TAD280	0.0550478718442339|0.113424863382521	0.115232122591671|0.126789956992472
Pathways in cancer	TAD506|TAD2583|TAD2582|TAD1670|TAD2310	0.120735924578203|0.131256054336233|0.0679312996667519|0.0401392773678643|0.14439396105083	0.129771183839744|0.137431786515075|0.116873426769585|0.115232122591671|0.149699775892593
Pentose and glucuronate interconversions	TAD767	0.0675553549996152	0.116873426769585
Pentose phosphate pathway	TAD75|TAD899|TAD2140	0.0114926721164375|0.0266177846914841|0.0114926721164375	0.115232122591671|0.115232122591671|0.115232122591671
Peroxisome	TAD927|TAD153|TAD2536|TAD2930|TAD1293|TAD1294	0.0621754716069909|0.0418868795039895|0.0137109235154247|0.0621754716069909|0.0820395089081457|0.0918150696934448	0.116002141856372|0.115232122591671|0.115232122591671|0.116002141856372|0.119543551774631|0.122358683260164
Pertussis	TAD837|TAD1858|TAD1859|TAD927|TAD212	0.0753556486435217|0.0289432075604823|0.110903462669141|0.0570594127143718|0.00322532203013466	0.11858757455853|0.115232122591671|0.126426746765687|0.115375190636324|0.0863730306375046
Phagosome	TAD1174|TAD1814|TAD6|TAD1121	6.10366162311754e-09|0.11137948154257|0.11137948154257|0.0937116831376612	6.23627019200615e-07|0.126450006764748|0.126450006764748|0.122706681526324
Phenylalanine metabolism	TAD1915	0.0385439179175177	0.115232122591671
