GO.Term	GO.ID	TAD	P.value	P.adjust
cysteine-type endopeptidase inhibitor activity 	0004869	TAD842|TAD1141|TAD1012	0.0220598637774164|0.0479025557459869|0.052144079999739	0.0433280719793694|0.0626542975341735|0.064944440997566
cysteine-type endopeptidase inhibitor activity involved in apoptotic process 	0043027	TAD842|TAD1141|TAD1012	0.0104301566252615|0.0228087556515068|0.0248573746124052	0.0371593497322587|0.043897725272239|0.0452265950033433
cysteine-type peptidase activity 	0008234	TAD2481|TAD927|TAD1773|TAD2186	0.0553189097872399|0.0335625962361311|0.0553189097872399|0.0335625962361311	0.0672385621168417|0.052275918968484|0.0672385621168417|0.052275918968484
cysteinyl leukotriene receptor activity 	0001631	TAD2310	0.00522578654632688	0.0371593497322587
cytidylyltransferase activity 	0070567	TAD2143	0.0109459436203918	0.0371593497322587
cytochrome-b5 reductase activity, acting on NAD(PH 	0004128)	TAD3079	0.00678907733164458	0.0371593497322587
cytokine activity 	0005125	TAD333|TAD2303|TAD1574|TAD1442|TAD501	0.0658385337006553|0.0784799713884848|0.0530248144726554|0.0400364812493355|0.0268711702064802	0.0742705466419311|0.082141947830004|0.0654619849153263|0.0571499269135102|0.0468577537338899
cytokine receptor activity 	0004896	TAD566|TAD29|TAD2586	0.0376276998408902|0.00174281626634781|0.00109340833919305	0.0553137440440334|0.0327390654756275|0.0248376336418799
cytokine receptor binding 	0005126	TAD2326|TAD333|TAD2500|TAD2303|TAD2186	0.0469778988129594|0.0583758933884833|0.0583758933884833|0.0696385529489667|0.0696385529489667	0.0623482814504099|0.0691895923397126|0.0691895923397126|0.0769089034103737|0.0769089034103737
cytoskeletal adaptor activity 	0008093	TAD1529|TAD370|TAD1510|TAD2158	0.0015702693237486|0.00626793506613499|0.0054863578062897|0.00470423417995847	0.0308811299399743|0.0371593497322587|0.0371593497322587|0.0371593497322587
DEAD/H-box RNA helicase binding 	0017151	TAD2500	0.00305117029255986	0.0367887940219646
death domain binding 	0070513	TAD1141	0.00956181964416636	0.0371593497322587
death receptor activity 	0005035	TAD6	0.0125036397962929	0.03744401100915
death receptor binding 	0005123	TAD1141	0.00956181964416636	0.0371593497322587
deoxyribonuclease activity 	0004536	TAD332|TAD333	0.018187621991235|0.013024047356205	0.0403140782972987|0.0376346596834492
dicarboxylic acid transmembrane transporter activity 	0005310	TAD1916	0.033689675156518	0.052275918968484
dipeptidyl-peptidase activity 	0008239	TAD2498|TAD432	0.0159497344506745|1.19173736782207e-05	0.0389361164531171|0.000714380344377787
disordered domain specific binding 	0097718	TAD2953|TAD2310	0.00999731179831076|0.0198989812350967	0.0371593497322587|0.0417723750051933
disulfide oxidoreductase activity 	0015036	TAD280|TAD627|TAD1466	0.0350388843079167|0.0186991373856121|0.0248573746124052	0.0533985784784953|0.0408346930221195|0.0452265950033433
divalent inorganic cation transmembrane transporter activity 	0072509	TAD2148|TAD527|TAD2242|TAD836|TAD2149|TAD526	0.013200566102947|0.0197370676737348|0.0229894898712721|0.0197370676737348|0.013200566102947|0.013200566102947	0.0376346596834492|0.0415358596108636|0.0439427096033705|0.0415358596108636|0.0376346596834492|0.0376346596834492
DNA-(apurinic or apyrimidinic site lyase activity 	0003906)	TAD332|TAD333|TAD2189	0.00730940087447229|0.00522601423875935|0.0135355863538267	0.0371593497322587|0.0371593497322587|0.0376346596834492
DNA-dependent ATPase activity 	0008094	TAD2143|TAD2155|TAD2943|TAD1012|TAD1859	0.0845079177096495|0.0187332465671447|0.00628327079151791|0.0728811999298178|0.0728811999298178	0.0861290177553988|0.0408346930221195|0.0371593497322587|0.0789150172847701|0.0789150172847701
DNA-directed 5'-3' RNA polymerase activity 	0003899	TAD346|TAD927	0.0370724775562412|0.0187064325137744	0.0549797838671532|0.0408346930221195
DNA-directed DNA polymerase activity 	0003887	TAD927	0.0104287958736624	0.0371593497322587
DNA binding 	0003677	TAD1978|TAD233|TAD1360|TAD1846|TAD2328|TAD2428	0.0517703794971398|0.0737120844047126|0.0373925903912277|0.0485076408989323|0.0779300113447946|0.0517703794971398	0.0648682086818943|0.0794558831894954|0.0550478241520266|0.0630390800914336|0.0817166979990606|0.0648682086818943
DNA binding, bending 	0008301	TAD842|TAD2189|TAD1112	0.00739706099011128|0.0191253363922775|0.005921781224141	0.0371593497322587|0.0412645671609484|0.0371593497322587
DNA helicase activity 	0003678	TAD2143|TAD3038|TAD2155	0.0478028907565037|0.0643293851665228|0.0104365130751155	0.0626542975341735|0.0733413744222926|0.0371593497322587
DNA ligase (ATP activity 	0003910)	TAD233	0.0031382096525836	0.0367887940219646
DNA ligase activity 	0003909	TAD233	0.00366044581272362	0.0367887940219646
DNA polymerase activity 	0034061	TAD927	0.0109478471215653	0.0371593497322587
DNA replication origin binding 	0003688	TAD3038|TAD1234|TAD2155|TAD417	0.0197259565148712|0.0145697968171986|0.00313862021553968|0.00209341824459919	0.0415358596108636|0.0379774733520519|0.0367887940219646|0.0339832039300637
dolichyl-diphosphooligosaccharide-protein glycotransferase activity 	0004579	TAD548	0.0054863578062897	0.0371593497322587
dopamine binding 	0035240	TAD1968	4.27929087951481e-05	0.0018658660791114
dopamine neurotransmitter receptor activity 	0004952	TAD1968	7.34782186648541e-05	0.00264276659797925
dopamine neurotransmitter receptor activity, coupled via Gi/Go 	0001591	TAD1968	2.19919873339728e-05	0.00110369089922589
dopamine transmembrane transporter activity 	0005329	TAD2673	0.0104287958736621	0.0371593497322587
double-stranded DNA binding 	0003690	TAD527|TAD170|TAD2155|TAD526|TAD1413|TAD2428	0.0507410167226083|0.066870246330913|0.0256974373867428|0.0341171260825103|0.0256974373867428|0.0424647825223036	0.0642977769156716|0.0750421173073897|0.0459826450087819|0.052777604362765|0.0459826450087819|0.0590585990508165
double-stranded RNA binding 	0003725	TAD502|TAD432|TAD537	0.0204393053821073|0.0404677837723616|0.0153683146843395	0.0420878063116292|0.0574158299676241|0.0385189582912946
dynactin binding 	0034452	TAD2158	0.00574711114067739	0.0371593497322587
dynein complex binding 	0070840	TAD2158|TAD135	0.009909517648653|0.0229775616183028	0.0371593497322587|0.0439427096033705
E-box binding 	0070888	TAD346|TAD2148|TAD454|TAD527|TAD1978|TAD784	0.0350464174856417|0.0118172228102323|0.0088756876653846|0.0176748945154762|0.0147502838686741|0.0147502838686741	0.0533985784784953|0.0372261306883513|0.0371593497322587|0.0403042028034204|0.0379774733520519|0.0379774733520519
endodeoxyribonuclease activity 	0004520	TAD332|TAD333|TAD526	0.0211911538494153|0.015181465363699|0.0121631948985262	0.0428006597647608|0.038383538875656|0.03744401100915
endonuclease activity 	0004519	TAD2326|TAD332|TAD333|TAD2845|TAD526	0.025242956690163|0.0437617413943356|0.0314548522957168|0.0498572175450704|0.025242956690163	0.0456616098385345|0.0595419592553781|0.0510756743823602|0.0637392627146102|0.0456616098385345
endopeptidase activity 	0004175	TAD432|TAD107	0.0235560918127404|1.2790131249151e-05	0.0443797413435036|0.000726344821991262
endopeptidase inhibitor activity 	0004866	TAD506|TAD502|TAD1141|TAD2436|TAD2859	0.0839058351502884|0.0381923964891526|0.000137937417013125|5.35947263234025e-16|0.0839058351502884	0.0857739423279594|0.0556134896245556|0.00437748449874006|2.31314838811805e-13|0.0857739423279594
endopeptidase regulator activity 	0061135	TAD432|TAD2859	0.0248659689299164|0.0279316247781848	0.0452265950033433|0.0479592882257938
endoribonuclease activity 	0004521	TAD280|TAD1650	0.0336023015102312|0.0316559663906809	0.052275918968484|0.0512095768149101
endoribonuclease activity, producing 5'-phosphomonoesters 	0016891	TAD502|TAD2266|TAD2793|TAD2851	0.00835250145589783|0.0570808191804916|0.00835250145589783|0.006270666259514	0.0371593497322587|0.0686916487045992|0.0371593497322587|0.0371593497322587
enhancer binding 	0035326	TAD842|TAD2500|TAD2490	0.0112953920873262|0.0112953920873262|0.0135397014819247	0.0371593497322587|0.0371593497322587|0.0376346596834492
enhancer sequence-specific DNA binding 	0001158	TAD837|TAD2716|TAD233	0.043830430650182|0.0597745634575596|0.0330534536931001	0.0595419592553781|0.0703974170222874|0.0520652212187664
ephrin receptor binding 	0046875	TAD1545	0.00496644557691139	0.0371593497322587
epidermal growth factor receptor binding 	0005154	TAD1083|TAD1067|TAD2496|TAD711	0.044867957921662|0.0194714773736774|0.0151761937260387|0.0130217839293252	0.0603750786567823|0.0412645671609484|0.038383538875656|0.0376346596834492
estrogen receptor binding 	0030331	TAD842|TAD2726|TAD3033	0.0138874677982518|0.035719645425579|0.035719645425579	0.0379774733520519|0.0537510367115279|0.0537510367115279
ether hydrolase activity 	0016803	TAD2231	0.00487803943025378	0.0371593497322587
eukaryotic initiation factor 4E binding 	0008190	TAD1878|TAD1083|TAD2397	0.00782945182216455|0.0181828931055128|0.0130183907586224	0.0371593497322587|0.0403140782972987|0.0376346596834492
excitatory extracellular ligand-gated ion channel activity 	0005231	TAD2266	0.0022442305601214	0.0353507266331532
exonuclease activity 	0004527	TAD332|TAD333|TAD280	0.0217909141718114|0.0156124958848106|0.0521218431045793	0.0431057541167423|0.0385858011906455|0.064944440997566
exopeptidase activity 	0008238	TAD2673|TAD2231|TAD2536|TAD744	0.0757391587529922|0.0271745973631721|0.0647468307997034|0.0309972609257515	0.0804128352890172|0.047173110704208|0.073599942212471|0.0507558126771016
exoribonuclease activity 	0004532	TAD1059	0.00209305298091567	0.0339832039300637
exoribonuclease activity, producing 5'-phosphomonoesters 	0016896	TAD2326|TAD2498|TAD557|TAD1059	0.00869938295954231|0.0490388352276573|0.0343637912667673|0.00869938295954231	0.0371593497322587|0.0632223568209946|0.0530375841871562|0.0371593497322587
extracellular ATP-gated cation channel activity 	0004931	TAD2266	0.000120004810093823	0.00398415969511491
FAD binding 	0071949	TAD3038|TAD1141|TAD3079|TAD537	0.0310619290559087|0.0180963120292451|0.0213530384425569|0.00496644557691139	0.0507815476535234|0.0403140782972987|0.0428649832177097|0.0371593497322587
fatty acid elongase activity 	0009922	TAD1201	0.00244157544560397	0.036096363877138
fatty acid ligase activity 	0015645	TAD927	0.00939001236713943	0.0371593497322587
fatty acid synthase activity 	0004312	TAD3079|TAD1201	0.0112914646881228|0.00348659510356031	0.0371593497322587|0.0367887940219646
ferrous iron binding 	0008198	TAD2797	0.0104287958736624	0.0371593497322587
fibroblast growth factor binding 	0017134	TAD767|TAD2058	0.0302993860091251|0.0133655392991726	0.0501631748624121|0.0376346596834492
fibroblast growth factor receptor binding 	0005104	TAD2194|TAD767	0.0104269822755036|0.0166352366164249	0.0371593497322587|0.0392936692273374
filamin binding 	0031005	TAD858	0.00782945182216455	0.0371593497322587
flavin adenine dinucleotide binding 	0050660	TAD3038|TAD3067|TAD1878|TAD1141|TAD3079|TAD537	0.076715718646478|0.0289635052824417|0.0370868196667534|0.0451435817113185|0.0531343251553603|0.0125150634022444	0.0811057887856186|0.0489768780535585|0.0549797838671532|0.0605844834160605|0.0654847936523516|0.03744401100915
frizzled binding 	0005109	TAD2131|TAD1413|TAD1442	0.0192218629090224|0.00965630536438944|0.00965630536438944	0.0412645671609484|0.0371593497322587|0.0371593497322587
G-protein activated inward rectifier potassium channel activity 	0015467	TAD3020|TAD170	0.00782945182216455|0.0419637951987454	0.0371593497322587|0.0586894815546944
G-protein beta/gamma-subunit complex binding 	0031683	TAD2649	0.0162055570029567	0.03906269412121
G-protein coupled amine receptor activity 	0008227	TAD1968|TAD1005	0.00582165529505864|0.00488698839340274	0.0371593497322587|0.0371593497322587
G-protein coupled peptide receptor activity 	0008528	TAD2310|TAD1878|TAD2882|TAD2311	0.0544891503755466|0.0491744925171272|0.0234850414630458|0.0166634281060756	0.066584137321874|0.0632223568209946|0.0443797413435036|0.0393001943747662
G-protein coupled receptor activity 	0004930	TAD2310|TAD1413|TAD1005|TAD2311|TAD2354	0.0215139907990644|0.0682911229935879|0.0233004625185445|0.0682911229935879|0.0105133455038782	0.0430279815981288|0.0760827276304402|0.0443324436929682|0.0760827276304402|0.0371593497322587
G-protein coupled receptor binding 	0001664	TAD2131|TAD1413|TAD1442|TAD2158|TAD703	0.0676642245436643|0.0344201854957631|0.0344201854957631|0.0676642245436643|0.000311496196807794	0.0757362015379811|0.0530375841871562|0.0530375841871562|0.0757362015379811|0.00850897205963569
G-protein coupled serotonin receptor activity 	0004993	TAD1005	0.0020944235971726	0.0339832039300637
G-quadruplex DNA binding 	0051880	TAD2155	0.00183166113239919	0.0331547975126634
GABA receptor binding 	0050811	TAD2956|TAD2129|TAD2955	0.00704896629348672|0.0109459436203918|0.0015702693237486	0.0371593497322587|0.0371593497322587|0.0308811299399743
galactosyltransferase activity 	0008378	TAD2958|TAD3079	0.00261597357211152|0.0112914646881228	0.0366640006181636|0.0371593497322587
galanin receptor activity 	0004966	TAD2310	0.00956181964416625	0.0371593497322587
gamma-tubulin binding 	0043015	TAD2326|TAD2176|TAD1916	0.00661672818288561|0.0502066289027719|0.0229775616183028	0.0371593497322587|0.0638831988043525|0.0439427096033705
gap junction channel activity 	0005243	TAD1234	0.0133632179432648	0.0376346596834492
GDP-dissociation inhibitor activity 	0005092	TAD280|TAD135	0.0118105462426106|0.00973524529134429	0.0372261306883513|0.0371593497322587
GDP binding 	0019003	TAD527|TAD1007|TAD111|TAD1550|TAD1710	0.0264142331634262|0.0307495928166754|0.0479025557459869|0.00445065014399171|0.0264142331634262	0.0465321756462642|0.0506546727468592|0.0626542975341735|0.0371593497322587|0.0465321756462642
glucocorticoid receptor binding 	0035259	TAD2189|TAD2500	0.0101676375517183|0.00392156385296982	0.0371593497322587|0.0371593497322587
glucosidase activity 	0015926	TAD767|TAD2498	0.0111192025058316|0.0159497344506745	0.0371593497322587|0.0389361164531171
glutamate receptor activity 	0008066	TAD3007	0.00522738094957487	0.0371593497322587
glutamate receptor binding 	0035254	TAD1133	0.0207542160010447	0.0422313912414705
glutathione transferase activity 	0004364	TAD1133|TAD1149|TAD1773	0.0309825694171859|0.000591307835270357|0.0258840518030623	0.0507558126771016|0.0152295136763734|0.04606111794572
glycine binding 	0016594	TAD1651	0.0135355863538269	0.0376346596834492
growth factor activity 	0008083	TAD1574	0.023872291801478	0.0446069074231269
growth factor receptor binding 	0070851	TAD2194|TAD2326|TAD1067|TAD2496|TAD711	0.0774761677542707|0.0317339124867655|0.0700037084686032|0.0548787239883182|0.0472252465309578	0.0814386605035149|0.0512555665443428|0.0770362074835521|0.066870856220661|0.0624844157043574
growth hormone receptor binding 	0005131	TAD1650	0.00973566868632292	0.0371593497322587
GTP-Rho binding 	0017049	TAD1374	0.00739706099011128	0.0371593497322587
GTP binding 	0005525	TAD2953|TAD527|TAD1967|TAD1550|TAD1710|TAD420	0.0625276687570115|0.0745591366016705|0.0745591366016705|0.0128283445326818|0.0745591366016705|0.0254932278765196	0.0721575984907117|0.0796922321874219|0.0796922321874219|0.0376346596834492|0.0796922321874219|0.0457690397317216
GTPase activator activity 	0005096	TAD873|TAD2955|TAD1216|TAD2674|TAD412|TAD766|TAD885	0.012078079422103|0.0429889674284195|0.0429889674284195|0.0268888633088297|0.0429889674284195|0.084136986738633|0.0429889674284195	0.03744401100915|0.0593003665907464|0.0593003665907464|0.0468577537338899|0.0593003665907464|0.085969515805857|0.0593003665907464
GTPase activity 	0003924	TAD1550|TAD420	0.0193734182738458|0.0383731652753477	0.0412645671609484|0.0557502962051423
GTPase binding 	0051020	TAD1743|TAD2306|TAD1725|TAD3079|TAD2674|TAD8	0.0518587465007935|0.0829131594068837|0.0581515362367067|0.0829131594068837|0.0767836545361533|0.02627000767071	0.0648760434485289|0.0850411587452733|0.0690649505772223|0.0850411587452733|0.0811057887856186|0.0464677676667149
GTPase inhibitor activity 	0005095	TAD711	0.00678907733164447	0.0371593497322587
GTPase regulator activity 	0030695	TAD873|TAD2955|TAD1216|TAD2674|TAD412|TAD885	0.0146038004178484|0.0474233186746326|0.0474233186746326|0.0323183995771248|0.0474233186746326|0.0474233186746326	0.0379774733520519|0.0625547198654383|0.0625547198654383|0.051776619367064|0.0625547198654383|0.0625547198654383
guanyl ribonucleotide binding 	0032561	TAD2953|TAD527|TAD1967|TAD1550|TAD1710|TAD420	0.0720211903133912|0.0857942300939679|0.0857942300939679|0.0148355004799721|0.0857942300939679|0.029452184449112	0.0782192897314032|0.0867591136564118|0.0867591136564118|0.0379774733520519|0.0867591136564118|0.0491730972255657
H4 histone acetyltransferase activity 	0010485	TAD2665	0.00887027994970369	0.0371593497322587
helicase activity 	0004386	TAD2143|TAD2155	0.0407703847733911|0.0088756876653846	0.0577691991733277|0.0371593497322587
heme binding 	0020037	TAD1539	0.0125276070197434	0.03744401100915
heparan sulfate sulfotransferase activity 	0034483	TAD734	0.00366108424309097	0.0367887940219646
hexosaminidase activity 	0015929	TAD1019	0.00574711114067739	0.0371593497322587
high voltage-gated calcium channel activity 	0008331	TAD1823|TAD566	0.00313862021553968|0.00626820804259531	0.0367887940219646|0.0371593497322587
histone-arginine N-methyltransferase activity 	0008469	TAD3033	0.0101676375517183	0.0371593497322587
histone-lysine N-methyltransferase activity 	0018024	TAD526|TAD1466	0.0142371200506834|0.0421205793358598	0.0379774733520519|0.0588324985157187
histone acetyltransferase activity 	0004402	TAD2953|TAD1529|TAD726|TAD784|TAD179|TAD2665	0.017765385269184|0.00714345654624737|0.0352227257321307|0.017765385269184|0.0386776884576946|0.0212813289747861	0.0403130403900096|0.0371593497322587|0.0534157709978482|0.0403130403900096|0.0558475648300241|0.0428006597647608
histone acetyltransferase binding 	0035035	TAD1290	0.00574911483271023	0.0371593497322587
histone deacetylase activity 	0004407	TAD2264	0.0207668006276247	0.0422313912414705
histone deacetylase binding 	0042826	TAD1858|TAD842|TAD1033|TAD2148|TAD1163|TAD1859|TAD1201|TAD2264	0.0220905033739603|0.0365488723533831|0.0147811200453274|0.0293462913639405|0.0578412151153695|0.0855091847628077|0.0293462913639405|0.0436986319002632	0.0433280719793694|0.0546208217026321|0.0379774733520519|0.0491348802764474|0.0689512027911926|0.0866739411545979|0.0491348802764474|0.0595419592553781
histone demethylase activity (H3-K36 specific 	0051864)	TAD1651|TAD1652|TAD1653|TAD2586	0.00938878711789837|0.000785408848939628|0.00235458175947201|0.00626793506613499	0.0371593497322587|0.0190439583821541|0.036036790332912|0.0371593497322587
histone demethylase activity (H3-K4 specific 	0032453)	TAD2112	0.00209314428089746	0.0339832039300637
histone demethylase activity (H3-K9 specific 	0032454)	TAD1651|TAD1652|TAD1653|TAD1725	0.0135355863538269|0.00113447944846867|0.00339987505430561|0.0101676375517187	0.0376346596834492|0.0255021526020354|0.0367887940219646|0.0371593497322587
histone methyltransferase activity 	0042054	TAD3033|TAD1773|TAD1466	0.0531343251553603|0.0411234862742641|0.0491471725636822	0.0654847936523516|0.057996908084552|0.0632223568209946
histone methyltransferase activity (H3-K36 specific 	0046975)	TAD526	0.00209305298091567	0.0339832039300637
histone methyltransferase activity (H3-K4 specific 	0042800)	TAD526	0.00557417104186086	0.0371593497322587
histone threonine kinase activity 	0035184	TAD2582|TAD2583	0.00061087354917555|0.00122142721344098	0.0155075450334861|0.0266316185680929
hormone activity 	0005179	TAD2903|TAD333|TAD432|TAD2238|TAD703|TAD2800	0.0496266738379836|0.0357013608448196|0.0565146397890358|0.0701429475533231|0.0835767371740472|0.0357013608448196	0.0636240517288743|0.0537510367115279|0.0681827852758956|0.0771500921610964|0.0855185390334727|0.0537510367115279
hormone receptor binding 	0051427	TAD2953|TAD1650	0.0173351090230255|0.0544473616227011	0.0400098024296139|0.0665707684882657
Hsp90 protein binding 	0051879	TAD1978|TAD111	0.013024047356205|0.0284365435880137	0.0376346596834492|0.0486260388771265
hyaluronic acid binding 	0005540	TAD2076	0.0156036901002317	0.0385858011906455
hydro-lyase activity 	0016836	TAD627|TAD6|TAD2608|TAD8|TAD2744	0.0348052360596564|0.023337190007049|0.0610543941780141|0.0156179214348832|0.0194849832886962	0.0532160848370111|0.0443324436929682|0.0713424964932534|0.0385858011906455|0.0412645671609484
hydrogen-exporting ATPase activity 	0036442	TAD280|TAD1121	0.0307230950950256|0.00913116775390577	0.0506546727468592|0.0371593497322587
hydrogen-exporting ATPase activity, phosphorylative mechanism 	0008553	TAD280	0.0132775989641087	0.0376346596834492
hydrogen ion transmembrane transporter activity 	0015078	TAD280|TAD1121	0.0730753806284081|0.0220598637774164	0.0790640292708406|0.0433280719793694
hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances 	0016820	TAD2143|TAD1916|TAD1743|TAD2726|TAD2727	0.0501363999324742|0.0501363999324742|0.0289572558178673|6.51328521719383e-10|3.92542647240782e-05	0.0638450118989187|0.0638450118989187|0.0489768780535585|1.40556694987043e-07|0.00176480631822002
hydrolase activity, acting on carbon-nitrogen (but not peptide bonds, in cyclic amides 	0016812)	TAD2231	0.00366044581272307	0.0367887940219646
hydrolase activity, acting on carbon-nitrogen (but not peptide bonds, in linear amides 	0016811)	TAD1503|TAD2264|TAD1155	0.0195086790386195|0.038641746187853|0.0449372031891545	0.0412742444758244|0.0558475648300241|0.0603826179839325
hydrolase activity, hydrolyzing O-glycosyl compounds 	0004553	TAD816|TAD1915	0.0138874677982518|0.04912618492095	0.0379774733520519|0.0632223568209946
hydroxymethyl-, formyl- and related transferase activity 	0016742	TAD3033	0.00678907733164458	0.0371593497322587
I-SMAD binding 	0070411	TAD2793	0.00348659510356031	0.0367887940219646
immunoglobulin receptor binding 	0034987	TAD3047|TAD3048	0.0618696806859633|0.0279799554570317	0.0719585353683921|0.0479592882257938
inorganic anion exchanger activity 	0005452	TAD2176|TAD432	0.073128731429378|0.0193874613262877	0.0790640292708406|0.0412645671609484
inorganic anion transmembrane transporter activity 	0015103	TAD432	0.0330335150402523	0.0520652212187664
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity 	0052659	TAD2433	0.00670203838921102	0.0371593497322587
inositol 1,4,5 trisphosphate binding 	0070679	TAD652|TAD2148|TAD527|TAD2149|TAD526	0.00670203838921057|0.00383475246399234|0.00574711114067739|0.00383475246399234|0.00383475246399234	0.0371593497322587|0.0371593497322587|0.0371593497322587|0.0371593497322587|0.0371593497322587
inositol tetrakisphosphate phosphatase activity 	0052743	TAD2433	0.0086093919858119	0.0371593497322587
inositol trisphosphate kinase activity 	0051766	TAD2433	0.00574711114067727	0.0371593497322587
insulin-like growth factor receptor binding 	0005159	TAD506|TAD1650|TAD2238	0.0117237056568632|0.0207533178794208|0.013018390758623	0.0372261306883513|0.0422313912414705|0.0376346596834492
insulin receptor binding 	0005158	TAD506|TAD2238|TAD1067|TAD2496	0.0148293201335244|0.0164641011743505|0.0148293201335244|0.0115520322007068	0.0379774733520519|0.0391101394781874|0.0379774733520519|0.0372261306883513
integrin binding 	0005178	TAD506|TAD280|TAD432|TAD2238|TAD1296|TAD2105	0.0714758684067082|0.00835750422050652|0.0637906286101272|0.0790986866049417|0.0403553031846192|0.0482308577071133	0.0777687811973079|0.0371593497322587|0.0730292713743525|0.0824613360837991|0.0573316288824281|0.0628709896731336
interleukin-17 receptor activity 	0030368	TAD566	0.00366044581272362	0.0367887940219646
interleukin-6 receptor binding 	0005138	TAD280	0.0103414408019566	0.0371593497322587
intracellular calcium activated chloride channel activity 	0005229	TAD107	8.08009392876069e-11	2.1796053372832e-08
intracellular cAMP activated cation channel activity 	0005222	TAD1968	0.0574063374521906	0.0689003760966781
intracellular cGMP activated cation channel activity 	0005223	TAD1968	0.0449372031891546	0.0603826179839325
intracellular chloride channel activity 	0061778	TAD107	8.08009392876069e-11	2.1796053372832e-08
intracellular cyclic nucleotide activated cation channel activity 	0005221	TAD1968	0.0697148194694549	0.0769144071651757
intracellular ligand-gated ion channel activity 	0005217	TAD527|TAD526	0.00783013338928795|0.00522646970306417	0.0371593497322587|0.0371593497322587
intramolecular oxidoreductase activity, transposing C=C bonds 	0016863	TAD153	5.02149924075884e-06	0.00036214646607011
intramolecular oxidoreductase activity, transposing S-S bonds 	0016864	TAD280|TAD1149|TAD627|TAD1466	0.0292804661873571|0.0241732184484904|0.0156043669970557|0.0207542160010447	0.0491348802764474|0.0447530048952949|0.0385858011906455|0.0422313912414705
intramolecular transferase activity, phosphotransferases 	0016868	TAD1230|TAD1454|TAD75	0.00479134938436776|0.00574711114067739|0.00287731972280458	0.0371593497322587|0.0371593497322587|0.0367887940219646
intronic transcription regulatory region sequence-specific DNA binding 	0001161	TAD2882	0.0742862328973397	0.0796922321874219
inward rectifier potassium channel activity 	0005242	TAD2143|TAD3020|TAD2859	0.0253675164589564|0.0163788718223927|0.0163788718223927	0.0456684701980974|0.03906269412121|0.03906269412121
ion channel activity 	0005216	TAD652|TAD566|TAD3007	0.055460746415703|0.0477281627375924|0.0241526965292853	0.0672385621168417|0.0626542975341735|0.0447530048952949
ion channel inhibitor activity 	0008200	TAD2649|TAD2113|TAD527|TAD2797|TAD526	0.0312393737682183|0.0143189513600798|0.0171587867542757|0.0171587867542757|0.0114711598520151	0.0509397512105595|0.0379774733520519|0.039772998727956|0.039772998727956|0.0371693137547275
ion gated channel activity 	0022839	TAD1916|TAD107	0.0301311487947398|2.63486730513133e-10	0.0499921875482815|6.31782627163713e-08
ion transmembrane transporter activity 	0015075	TAD837|TAD1916|TAD1083|TAD432|TAD1743|TAD545	0.000250866798516771|0.0419458083719184|0.0622726955173414|0.0241826234281153|0.0241826234281153|0.00609967208597917	0.00703078637921028|0.0586894815546944|0.0721575984907117|0.0447530048952949|0.0447530048952949|0.0371593497322587
ionotropic glutamate receptor activity 	0004970	TAD3007	0.00418336568667443	0.0371593497322587
ionotropic glutamate receptor binding 	0035255	TAD1133	0.0135355863538269	0.0376346596834492
iron ion binding 	0005506	TAD2797|TAD1725	0.0279497225756183|0.0416356096822197	0.0479592882257938|0.0584040900250902
iron ion transmembrane transporter activity 	0005381	TAD2176|TAD1916|TAD1915	0.0161258933122421|0.00730971908736766|0.00939001236713921	0.03906269412121|0.0371593497322587|0.0371593497322587
K63-linked polyubiquitin modification-dependent protein binding 	0070530	TAD1133|TAD1815	0.0207542160010447|0.00696406499121305	0.0422313912414705|0.0371593497322587
kinase activator activity 	0019209	TAD2113|TAD2716	0.0104301566252615|0.0228087556515068	0.0371593497322587|0.043897725272239
kinase activity 	0016301	TAD1858|TAD365|TAD468|TAD545|TAD1859|TAD1545	0.0715343052255126|0.0715343052255126|0.0482748980020308|0.0482748980020308|0.25696008164269|0.0715343052255126	0.0777687811973079|0.0777687811973079|0.0628709896731336|0.0628709896731336|0.257556830555005|0.0777687811973079
kinase binding 	0019900	TAD1133|TAD1670|TAD420	0.0688132313820015|0.0123375498792705|0.0716281872285156	0.0764276651170145|0.03744401100915|0.0778316354678432
kinase inhibitor activity 	0019210	TAD2131	0.0305043868451058	0.0504046453382376
kinesin binding 	0019894	TAD1773|TAD2397	0.0241773972310362|0.0360537371133218	0.0447530048952949|0.0541266129960919
L-amino acid transmembrane transporter activity 	0015179	TAD2171	0.0378462814687868	0.0553335199252316
LBD domain binding 	0050693	TAD1290	0.00157013230998848	0.0308811299399743
leak channel activity 	0022840	TAD1636|TAD2859	0.00496644557691139|0.0148293201335244	0.0371593497322587|0.0379774733520519
leucine zipper domain binding 	0043522	TAD2113	0.00435653260237878	0.0371593497322587
leukotriene receptor activity 	0004974	TAD2310	0.00522578654632688	0.0371593497322587
ligand-dependent nuclear receptor binding 	0016922	TAD2953	0.00739706099011128	0.0371593497322587
ligand-dependent nuclear receptor transcription coactivator activity 	0030374	TAD2953|TAD2310|TAD2582|TAD2583|TAD542|TAD2665|TAD2309	0.0280468853532919|0.0553189097872399|0.00567239724234214|0.011313110646012|0.0335625962361311|0.0335625962361311|0.0225001818895489	0.0480358560257174|0.0672385621168417|0.0371593497322587|0.0371593497322587|0.052275918968484|0.052275918968484|0.0437042236882508
